QA,answers,length,sentiment,sim_wrt_topic,topic_rank
kiara kept on failing,"[('failing', 2.09861228866811), ('kiara', 2.09861228866811), ('kept', 2.09861228866811)]",4,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.5106}",0.9774803519248962,3
vitani agrees with kiara,"[('kiara', 2.09861228866811), ('vitani', 2.09861228866811), ('agrees', 2.09861228866811)]",4,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.2023}",0.9322628974914551,3
should ve been the chosen one,"[('ve', 1.6931471805599454), ('chosen', 2.09861228866811)]",6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9065254330635071,1
later simba scolds kiara for endangering herself,"[('simba', 1.1823215567939547), ('later', 1.4054651081081644), ('endangering', 2.09861228866811), ('scolds', 2.09861228866811), ('kiara', 2.09861228866811)]",7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9285802841186523,3
wise king once told me we are one,"[('told', 1.4054651081081644), ('king', 1.4054651081081644), ('wise', 2.09861228866811)]",8,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.4767}",0.8861492872238159,1
the lionesses join in hailing their new king,"[('king', 1.4054651081081644), ('join', 1.6931471805599454), ('new', 1.6931471805599454), ('lionesses', 2.09861228866811), ('hailing', 2.09861228866811)]",8,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.296}",0.8646917343139648,2
the outsiders realize kiara is correct but zira ignores her,"[('zira', 2.09861228866811), ('outsiders', 2.09861228866811), ('correct', 2.09861228866811), ('kiara', 2.09861228866811), ('ignores', 2.09861228866811)]",10,"{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.3919}",0.9515155553817749,3
as mufasa nears the top he sees scar standing over him,"[('scar', 1.1823215567939547), ('mufasa', 1.4054651081081644), ('standing', 2.09861228866811), ('nears', 2.09861228866811), ('sees', 2.09861228866811)]",11,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.2023}",0.966734766960144,4
after musical journey through the jungle the two fall in love,"[('jungle', 1.4054651081081644), ('fall', 1.6931471805599454), ('journey', 2.09861228866811), ('love', 2.09861228866811), ('musical', 2.09861228866811)]",11,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369}",0.8616336584091187,2
zazu mutters under his breath that he never had to do this under mufasa,"[('mufasa', 1.4054651081081644), ('zazu', 2.09861228866811), ('breath', 2.09861228866811), ('mutters', 2.09861228866811)]",14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9445961713790894,4
timon spots simba running away after his off screen argument with nala and laughs it off pumbaa feeling guilty,"[('simba', 1.1823215567939547), ('pumbaa', 1.4054651081081644), ('away', 1.4054651081081644), ('nala', 1.4054651081081644), ('timon', 1.4054651081081644)]",19,"{'neg': 0.212, 'neu': 0.6, 'pos': 0.188, 'compound': -0.1531}",0.9823266267776489,0
mufasa and his majordomo hornbill named zazu rowan atkinson confront scar on why he wasn present at the ceremony that morning,"[('scar', 1.1823215567939547), ('mufasa', 1.4054651081081644), ('named', 1.6931471805599454), ('morning', 1.6931471805599454), ('ceremony', 1.6931471805599454)]",21,"{'neg': 0.078, 'neu': 0.922, 'pos': 0.0, 'compound': -0.1779}",0.948101282119751,4
meanwhile as thunderstorm struck the pride lands zira leads her pride in war against the pride lands and fierce fight breaks out,"[('pride', 1.4054651081081644), ('lands', 1.6931471805599454), ('breaks', 1.6931471805599454), ('leads', 1.6931471805599454), ('fierce', 1.6931471805599454)]",22,"{'neg': 0.268, 'neu': 0.505, 'pos': 0.227, 'compound': -0.3182}",0.8822972178459167,1
lightning strikes and ignites fire beneath him as scar looks over him remarking that this was just the way mufasa looked before he died,"[('scar', 1.1823215567939547), ('mufasa', 1.4054651081081644), ('just', 1.4054651081081644), ('ignites', 2.09861228866811), ('looked', 2.09861228866811)]",24,"{'neg': 0.288, 'neu': 0.712, 'pos': 0.0, 'compound': -0.8176}",0.9469399452209473,4
the film is told through the perspectives of timon and pumbaa who watch their side of the lion king in cinema occasionally stopping the footage to talk with one another,"[('lion', 1.1823215567939547), ('timon', 1.4054651081081644), ('watch', 1.4054651081081644), ('pumbaa', 1.4054651081081644), ('told', 1.4054651081081644)]",30,"{'neg': 0.043, 'neu': 0.957, 'pos': 0.0, 'compound': -0.079}",0.8973706960678101,2
simba allows the outlanders including kovu to return to the pride lands and kovu is allowed to stand with kiara at the top of pride rock with mufasa proudly proclaiming we are one,"[('simba', 1.1823215567939547), ('mufasa', 1.4054651081081644), ('rock', 1.4054651081081644), ('pride', 1.4054651081081644), ('return', 1.6931471805599454)]",33,"{'neg': 0.0, 'neu': 0.74, 'pos': 0.26, 'compound': 0.8481}",0.8446785807609558,1
at the end of the film an army of silhouetted disney characters join timon and pumbaa to re watch the film in the cinema but pumbaa informs timon he still grows anxious in crowds,"[('timon', 1.4054651081081644), ('watch', 1.4054651081081644), ('pumbaa', 1.4054651081081644), ('end', 1.6931471805599454), ('join', 1.6931471805599454)]",34,"{'neg': 0.069, 'neu': 0.886, 'pos': 0.044, 'compound': -0.2263}",0.8712360858917236,2
crazed with happiness he quickly smears mane around the head of his simba drawing stating that it is time timon and pumbaa are walking through the jungle together when pumbaa becomes distracted by large rhino beetle,"[('simba', 1.1823215567939547), ('timon', 1.4054651081081644), ('jungle', 1.4054651081081644), ('pumbaa', 1.4054651081081644), ('quickly', 1.6931471805599454)]",36,"{'neg': 0.096, 'neu': 0.815, 'pos': 0.089, 'compound': 0.1779}",0.9837859272956848,0
they are eventually caught in the wildebeest stampede that takes the life of mufasa but survive and find vast jungle which they decide to make their home timon learning of pumbaa own philosophy of hakuna matata embracing it to his fullest,"[('life', 1.4054651081081644), ('mufasa', 1.4054651081081644), ('home', 1.4054651081081644), ('timon', 1.4054651081081644), ('jungle', 1.4054651081081644)]",41,"{'neg': 0.045, 'neu': 0.955, 'pos': 0.0, 'compound': -0.2263}",0.9814426898956299,0
rafiki appears to timon and reminds him that his hakuna matata is not home but friendship prompting timon to go after his friends at pride rock timon and pumbaa evade the hyenas but run into ma and uncle max who came looking for timon,"[('uncle', 1.4054651081081644), ('home', 1.4054651081081644), ('timon', 1.4054651081081644), ('rock', 1.4054651081081644), ('pumbaa', 1.4054651081081644)]",44,"{'neg': 0.061, 'neu': 0.798, 'pos': 0.141, 'compound': 0.6299}",0.983102560043335,0
