question,answer,bait
the image zooms further in there coding everywhere ______ out jungle of shapes,"('making', '1.6931471805599454')","[('image', '1.6931471805599454'), ('coding', '2.09861228866811'), ('jungle', '2.09861228866811'), ('shapes', '2.09861228866811')]"
the _____ zooms further in there coding everywhere making out jungle of shapes,"('image', '1.6931471805599454')","[('making', '1.6931471805599454'), ('coding', '2.09861228866811'), ('jungle', '2.09861228866811'), ('shapes', '2.09861228866811')]"
the image zooms further in there ______ everywhere making out jungle of shapes,"('coding', '2.09861228866811')","[('making', '1.6931471805599454'), ('image', '1.6931471805599454'), ('jungle', '2.09861228866811'), ('shapes', '2.09861228866811')]"
the image zooms further in there coding everywhere making out ______ of shapes,"('jungle', '2.09861228866811')","[('making', '1.6931471805599454'), ('image', '1.6931471805599454'), ('coding', '2.09861228866811'), ('shapes', '2.09861228866811')]"
the image zooms further in there coding everywhere making out jungle of ______,"('shapes', '2.09861228866811')","[('making', '1.6931471805599454'), ('image', '1.6931471805599454'), ('coding', '2.09861228866811'), ('jungle', '2.09861228866811')]"
the image zooms further in there coding everywhere ______ out jungle of shapes,"('making', '1.6931471805599454')","[('image', '1.6931471805599454'), ('coding', '2.09861228866811'), ('jungle', '2.09861228866811'), ('shapes', '2.09861228866811')]"
the _____ zooms further in there coding everywhere making out jungle of shapes,"('image', '1.6931471805599454')","[('making', '1.6931471805599454'), ('coding', '2.09861228866811'), ('jungle', '2.09861228866811'), ('shapes', '2.09861228866811')]"
the image zooms further in there ______ everywhere making out jungle of shapes,"('coding', '2.09861228866811')","[('making', '1.6931471805599454'), ('image', '1.6931471805599454'), ('jungle', '2.09861228866811'), ('shapes', '2.09861228866811')]"
the image zooms further in there coding everywhere making out ______ of shapes,"('jungle', '2.09861228866811')","[('making', '1.6931471805599454'), ('image', '1.6931471805599454'), ('coding', '2.09861228866811'), ('shapes', '2.09861228866811')]"
the image zooms further in there coding everywhere making out jungle of ______,"('shapes', '2.09861228866811')","[('making', '1.6931471805599454'), ('image', '1.6931471805599454'), ('coding', '2.09861228866811'), ('jungle', '2.09861228866811')]"
inside the ______ morpheus says they are everyone and they are no one,"('matrix', '1.0')","[('inside', '1.4054651081081644'), ('says', '1.4054651081081644'), ('morpheus', '1.4054651081081644')]"
______ the matrix morpheus says they are everyone and they are no one,"('inside', '1.4054651081081644')","[('matrix', '1.0'), ('says', '1.4054651081081644'), ('morpheus', '1.4054651081081644')]"
inside the matrix morpheus ____ they are everyone and they are no one,"('says', '1.4054651081081644')","[('matrix', '1.0'), ('inside', '1.4054651081081644'), ('morpheus', '1.4054651081081644')]"
inside the matrix ________ says they are everyone and they are no one,"('morpheus', '1.4054651081081644')","[('matrix', '1.0'), ('inside', '1.4054651081081644'), ('says', '1.4054651081081644')]"
link communicates with one of the gate operators and they are let ______,"('inside', '1.4054651081081644')","[('gate', '1.6931471805599454'), ('let', '1.6931471805599454'), ('link', '1.6931471805599454'), ('operators', '2.09861228866811')]"
link communicates with one of the ____ operators and they are let inside,"('gate', '1.6931471805599454')","[('inside', '1.4054651081081644'), ('let', '1.6931471805599454'), ('link', '1.6931471805599454'), ('operators', '2.09861228866811')]"
link communicates with one of the gate operators and they are ___ inside,"('let', '1.6931471805599454')","[('inside', '1.4054651081081644'), ('gate', '1.6931471805599454'), ('link', '1.6931471805599454'), ('operators', '2.09861228866811')]"
____ communicates with one of the gate operators and they are let inside,"('link', '1.6931471805599454')","[('inside', '1.4054651081081644'), ('gate', '1.6931471805599454'), ('let', '1.6931471805599454'), ('operators', '2.09861228866811')]"
link communicates with one of the gate _________ and they are let inside,"('operators', '2.09861228866811')","[('inside', '1.4054651081081644'), ('gate', '1.6931471805599454'), ('let', '1.6931471805599454'), ('link', '1.6931471805599454')]"
