question,answer,bait
simba accepts his place as king of the pridelands thanking _____ and pumbaa for helping him,"('timon', '1.40546510811')","[('pumbaa', '1.40546510811'), ('place', '1.40546510811'), ('pumbaa', '1.40546510811')]"
simba accepts his place as king of the pridelands thanking timon and ______ for helping him,"('pumbaa', '1.40546510811')","[('timon', '1.40546510811'), ('place', '1.40546510811'), ('pumbaa', '1.40546510811')]"
simba accepts his _____ as king of the pridelands thanking timon and pumbaa for helping him,"('place', '1.40546510811')","[('timon', '1.40546510811'), ('pumbaa', '1.40546510811'), ('pumbaa', '1.40546510811')]"
simba accepts his place as king of the pridelands thanking timon and ______ for helping him,"('pumbaa', '1.40546510811')","[('timon', '1.40546510811'), ('place', '1.40546510811'), ('pumbaa', '1.40546510811')]"
timon shows ______ his backstory revealing him to be an outcast in his meerkat colony on the outskirts of the pridelands,"('pumbaa', '1.40546510811')","[('pridelands', '1.69314718056'), ('shows', '1.69314718056'), ('pridelands', '1.69314718056')]"
timon shows pumbaa his backstory revealing him to be an outcast in his meerkat colony on the outskirts of the __________,"('pridelands', '1.69314718056')","[('pumbaa', '1.40546510811'), ('shows', '1.69314718056'), ('pridelands', '1.69314718056')]"
timon _____ pumbaa his backstory revealing him to be an outcast in his meerkat colony on the outskirts of the pridelands,"('shows', '1.69314718056')","[('pumbaa', '1.40546510811'), ('pridelands', '1.69314718056'), ('pridelands', '1.69314718056')]"
timon shows pumbaa his backstory revealing him to be an outcast in his meerkat colony on the outskirts of the __________,"('pridelands', '1.69314718056')","[('pumbaa', '1.40546510811'), ('shows', '1.69314718056'), ('pridelands', '1.69314718056')]"
simba accepts his place as king of the pridelands thanking _____ and pumbaa for helping him,"('timon', '1.40546510811')","[('pumbaa', '1.40546510811'), ('place', '1.40546510811'), ('pumbaa', '1.40546510811')]"
simba accepts his place as king of the pridelands thanking timon and ______ for helping him,"('pumbaa', '1.40546510811')","[('timon', '1.40546510811'), ('place', '1.40546510811'), ('pumbaa', '1.40546510811')]"
simba accepts his _____ as king of the pridelands thanking timon and pumbaa for helping him,"('place', '1.40546510811')","[('timon', '1.40546510811'), ('pumbaa', '1.40546510811'), ('pumbaa', '1.40546510811')]"
simba accepts his place as king of the pridelands thanking timon and ______ for helping him,"('pumbaa', '1.40546510811')","[('timon', '1.40546510811'), ('place', '1.40546510811'), ('pumbaa', '1.40546510811')]"
kiara kept on _______,"('failing', '2.09861228867')","[('kiara', '2.09861228867'), ('kept', '2.09861228867')]"
_____ kept on failing,"('kiara', '2.09861228867')","[('failing', '2.09861228867'), ('kept', '2.09861228867')]"
kiara ____ on failing,"('kept', '2.09861228867')","[('failing', '2.09861228867'), ('kiara', '2.09861228867')]"
