,topic_rank,QA,length,sim_wrt_topic,ans
4,1,they spar again,3,0.9713729023933411,"[('spar', 2.09861228866811)]"
6,1,all smiths attack,3,0.9397463798522949,"[('attack', 1.4054651081081644), ('smiths', 1.6931471805599454)]"
15,3,the police open fire,4,0.9968920350074768,"[('open', 1.4054651081081644), ('police', 1.6931471805599454)]"
16,4,morpheus holds out two pills,5,0.9886561632156372,"[('morpheus', 1.4054651081081644), ('holds', 1.6931471805599454), ('pills', 2.09861228866811)]"
1,0,neo laughs but is unsettled,5,0.9804138541221619,"[('neo', 1.4054651081081644), ('laughs', 2.09861228866811), ('unsettled', 2.09861228866811)]"
3,0,didn save his life neo claims,6,0.9778045415878296,"[('save', 1.4054651081081644), ('life', 1.4054651081081644), ('neo', 1.4054651081081644), ('didn', 1.6931471805599454), ('claims', 1.6931471805599454)]"
13,3,the the door of bright light,6,0.9972395300865173,"[('door', 1.6931471805599454), ('light', 1.6931471805599454), ('bright', 2.09861228866811)]"
5,1,they do after all depend on them,7,0.9448268413543701,"[('depend', 2.09861228866811)]"
18,4,link serving on morpheus ship terrifies her,7,0.983259379863739,"[('morpheus', 1.4054651081081644), ('ship', 1.4054651081081644), ('link', 1.6931471805599454), ('serving', 2.09861228866811), ('terrifies', 2.09861228866811)]"
12,3,the three agents reunite at the front of the truck,10,0.9974926710128784,"[('agents', 1.6931471805599454), ('truck', 1.6931471805599454), ('reunite', 2.09861228866811)]"
10,2,at this station neo meets family of programs of indian origin,11,0.9970903992652893,"[('neo', 1.4054651081081644), ('programs', 1.4054651081081644), ('station', 1.6931471805599454), ('meets', 2.09861228866811), ('family', 2.09861228866811), ('indian', 2.09861228866811), ('origin', 2.09861228866811)]"
14,3,the cable inserted into the base of his skull suddenly detaches,11,0.9972128868103027,"[('suddenly', 1.4054651081081644), ('cable', 1.6931471805599454), ('inserted', 2.09861228866811), ('base', 2.09861228866811), ('skull', 2.09861228866811), ('detaches', 2.09861228866811)]"
17,4,neo looks at shattered mirror placed next to him which miraculously repairs itself,13,0.9849840998649597,"[('neo', 1.4054651081081644), ('looks', 1.6931471805599454), ('repairs', 1.6931471805599454), ('shattered', 2.09861228866811), ('mirror', 2.09861228866811), ('placed', 2.09861228866811), ('miraculously', 2.09861228866811)]"
7,1,there are levels of survival we are prepared to accept the architect claims,13,0.9368895292282104,"[('levels', 1.6931471805599454), ('accept', 1.6931471805599454), ('architect', 1.6931471805599454), ('claims', 1.6931471805599454), ('survival', 2.09861228866811), ('prepared', 2.09861228866811)]"
19,4,on the car ride to the oracle neo asks trinity if she has seen the oracle,16,0.9761807322502136,"[('oracle', 1.4054651081081644), ('neo', 1.4054651081081644), ('asks', 1.4054651081081644), ('trinity', 1.4054651081081644), ('seen', 1.4054651081081644), ('oracle', 1.4054651081081644), ('car', 1.6931471805599454), ('ride', 2.09861228866811)]"
8,2,once down there hamann tells neo about his wondering if they the free humans aren in sense plugged into these machines,21,0.9986286759376526,"[('tells', 1.4054651081081644), ('neo', 1.4054651081081644), ('free', 1.4054651081081644), ('humans', 1.4054651081081644), ('machines', 1.4054651081081644), ('aren', 1.6931471805599454), ('plugged', 1.6931471805599454), ('hamann', 2.09861228866811), ('wondering', 2.09861228866811), ('sense', 2.09861228866811)]"
11,2,neo enters the door of light he is now in room where the walls are made up of old fashioned television screens,22,0.9941966533660889,"[('neo', 1.4054651081081644), ('enters', 1.4054651081081644), ('walls', 1.4054651081081644), ('door', 1.6931471805599454), ('light', 1.6931471805599454), ('room', 1.6931471805599454), ('old', 1.6931471805599454), ('fashioned', 1.6931471805599454), ('television', 2.09861228866811), ('screens', 2.09861228866811)]"
9,2,morpheus shows neo fields where machines grow human beings connecting them to their outlets ensconcing them in their pods and feeding them with the liquefied remains of other human beings,30,0.9972528219223022,"[('morpheus', 1.4054651081081644), ('neo', 1.4054651081081644), ('machines', 1.4054651081081644), ('human', 1.4054651081081644), ('human', 1.4054651081081644), ('fields', 1.6931471805599454), ('beings', 1.6931471805599454), ('beings', 1.6931471805599454), ('shows', 2.09861228866811), ('grow', 2.09861228866811), ('connecting', 2.09861228866811), ('outlets', 2.09861228866811), ('ensconcing', 2.09861228866811), ('pods', 2.09861228866811), ('feeding', 2.09861228866811), ('liquefied', 2.09861228866811), ('remains', 2.09861228866811)]"
0,0,accordingly morpheus asks for volunteer ship to remain in broadcast depth while the nebuchadnezzar returns to zion to recharge and make repairs despite commander lock direct orders for all ships to return,32,0.9901791214942932,"[('morpheus', 1.4054651081081644), ('asks', 1.4054651081081644), ('ship', 1.4054651081081644), ('nebuchadnezzar', 1.4054651081081644), ('zion', 1.4054651081081644), ('make', 1.4054651081081644), ('return', 1.4054651081081644), ('returns', 1.6931471805599454), ('recharge', 1.6931471805599454), ('repairs', 1.6931471805599454), ('despite', 1.6931471805599454), ('orders', 1.6931471805599454), ('accordingly', 2.09861228866811), ('volunteer', 2.09861228866811), ('remain', 2.09861228866811), ('broadcast', 2.09861228866811), ('depth', 2.09861228866811), ('commander', 2.09861228866811), ('lock', 2.09861228866811), ('direct', 2.09861228866811), ('ships', 2.09861228866811)]"
2,0,neo final words to smith are it was inevitable quoting smith oft spoken admonition smith assimilation of neo is seemingly successful and when the oracle smith asks neo smith whether it is over he receives nod and smile as reply,40,0.9783492088317871,"[('neo', 1.4054651081081644), ('smith', 1.4054651081081644), ('smith', 1.4054651081081644), ('smith', 1.4054651081081644), ('neo', 1.4054651081081644), ('oracle', 1.4054651081081644), ('smith', 1.4054651081081644), ('asks', 1.4054651081081644), ('neo', 1.4054651081081644), ('smith', 1.4054651081081644), ('words', 1.6931471805599454), ('receives', 1.6931471805599454), ('smile', 1.6931471805599454), ('reply', 1.6931471805599454), ('final', 2.09861228866811), ('inevitable', 2.09861228866811), ('quoting', 2.09861228866811), ('oft', 2.09861228866811), ('spoken', 2.09861228866811), ('admonition', 2.09861228866811), ('assimilation', 2.09861228866811), ('seemingly', 2.09861228866811), ('successful', 2.09861228866811), ('nod', 2.09861228866811)]"
